Name	ID	ALL	ALL.1	ALL.2	ALL.3	ALL.4	ALL.5	ALL.6	ALL.7	ALL.8	ALL.9	ALL.10	ALL.11	ALL.12	ALL.13	ALL.14	ALL.15	ALL.16	ALL.17	ALL.18	ALL.19	ALL.20	ALL.21	ALL.22	ALL.23	ALL.24	ALL.25	ALL.26	AML	AML.1	AML.2	AML.3	AML.4	AML.5	AML.6	AML.7	AML.8	AML.9	AML.10
COL4A1_gene_alpha-1_type_IV_collagen_extracted_from_Human_alpha-1_collagen_type_IV_gene	M26576_cds2_at	0.36707	-0.43035	-0.13019	-0.29841	-0.95714	0.02208	-0.50701	0.54383	-0.6669	-0.15714	-0.92641	-0.48291	-0.39935	0.03931	-1.39503	-0.35594	-0.36032	-0.03218	-0.55831	-0.53247	0.08518	-0.03068	-0.14504	-0.65414	-0.08575	-0.15971	0.28525	-0.42129	-0.76223	0.24764	-0.06965	-0.20217	0.03873	0.11835	0.32349	-0.41974	-0.24062	-0.20168
HNRPA2B1_Heterogeneous_nuclear_ribonucleoprotein_A2/B1	M29064_at	1.04821	1.35113	1.27079	0.95125	1.35238	1.3059	1.12348	0.88498	1.2081	1.58338	1.10022	1.11422	1.64883	1.29905	1.4553	1.42905	1.45831	0.84194	1.34695	1.49539	1.92902	-0.27931	1.19427	1.60476	1.14127	1.30992	1.26541	0.736	0.88658	0.88497	0.7703	0.90389	0.28502	0.91858	1.06748	0.99648	0.27142	0.34551
Recombination_activating_protein_RAG-1_gene	M29474_at	1.38806	-1.3942	-1.46227	-1.21292	-1.42668	-1.21719	-0.6333	-1.36832	-1.47649	-1.21583	-1.28137	-1.03209	-0.25169	-1.39979	0.35326	0.36388	-1.56783	-1.20466	-0.66167	0.72618	-1.06221	-1.12665	-1.20963	-1.48332	-1.25268	-1.17981	-1.23051	-1.43337	-1.08902	-1.29865	-1.26183	-1.44434	-1.47218	-1.34158	-1.22961	-1.39906	-1.34579	-1.32403
PTX3_Pentaxin-related_gene_rapidly_induced_by_IL-1_beta	M31166_at	-1.45769	-1.3942	-1.46227	-1.40715	-1.42668	-1.21719	-1.37386	-1.36832	-1.47649	-1.21583	-1.28137	-1.03209	-1.36149	-1.39979	-1.39503	-1.40095	-1.56783	-1.20466	-1.24482	-1.60767	-1.06221	-1.12665	-1.20963	-1.48332	-1.25268	-1.27619	-1.23051	-0.39765	-0.95877	0.32157	-1.26183	-0.94893	-0.06983	-0.71647	-1.22961	1.02571	-0.05178	-0.45804
Oncoprotein_18_Op18_gene	M31303_rna1_at	1.90444	1.62352	2.30345	2.00081	1.88366	2.39365	1.89992	2.04104	2.16523	2.39332	1.8985	2.00967	2.05107	1.51445	1.70106	1.88781	1.97935	1.74588	1.75008	1.71379	1.81851	1.77938	2.51653	1.76305	1.87289	1.74957	1.91769	1.37029	1.42599	0.34218	1.97374	1.2284	0.86904	1.22218	1.76975	1.04084	0.89581	0.99431
GB_DEF_-_H19_RNA_gene	M32053_at	-1.45769	1.85395	-0.9214	-1.40715	-0.14468	-1.21719	-1.37386	-1.36832	-1.05047	-0.75505	-1.28137	-1.03209	-1.36149	-1.3373	-1.39503	-1.40095	-0.80661	-0.39446	-1.24482	-1.21023	-1.06221	-1.12665	-1.20963	-1.29675	-1.25268	-1.27619	-0.49132	-0.62142	-1.08902	-0.57602	-1.26183	-1.44434	-0.56388	0.13673	-0.82942	-1.19395	-0.45516	-0.78629
GB_DEF_-_Alpha-2-adrenergic_receptor_alpha-2_c2_gene	M34041_at	-0.73461	0.07236	-1.46227	-1.40715	-1.42668	-0.8044	0.16938	-0.29128	-1.47649	-1.21583	-0.64928	-1.03209	0.23824	-1.39979	0.15525	-0.68836	-0.37464	0.58694	-0.06049	-0.64638	-1.06221	-0.91468	-0.97802	-0.66193	0.16439	0.30817	-1.23051	0.21413	0.09433	-1.29865	-0.49352	-0.19994	0.05047	0.28736	0.04086	-0.50586	0.4947	0.85495
GB_DEF_-_M1_gene_for_muscarinic_acetylcholine_receptor	M35128_at	-0.66565	0.19817	-0.40992	-0.49633	-1.42668	-1.21719	0.45269	0.113	-1.01513	-0.79493	-0.34593	-1.03209	0.03046	-0.50669	-0.68379	-1.15947	-0.01677	0.12028	-0.60614	0.07364	-0.19572	-0.57358	-1.20963	-0.5073	0.02814	0.08576	0.71608	-0.29303	-0.01087	-0.11804	-1.03398	0.17011	0.08196	-1.34158	-1.22961	-0.28983	-1.14046	-0.1531
GB_DEF_-_Ig_superfamily_cytotoxic_T-lymphocyte-associated_protein_CTLA-4_gene_last_exon	M37245_at	-0.01078	-0.11932	0.21788	-0.05625	-0.17297	0.23117	0.5251	0.38146	0.02332	0.36111	-0.32051	0.14526	-0.1384	-0.48929	-0.94276	-0.05365	-0.02901	0.11541	-0.12351	-0.54559	-0.17105	-0.06423	0.15766	0.0617	-0.47232	-0.14061	0.73621	0.11175	-0.42003	0.30754	0.41851	-0.18888	0.4107	0.58952	0.74239	0.01889	0.04026	-0.74231
SYN1_gene_synapsin_I_extracted_from_Human_synapsin_I_SYN1_gene	M58378_cds1_at	0.27172	0.0273	0.41198	0.11592	-1.03877	0.73152	0.3983	0.1619	0.22963	0.33078	-0.24828	0.32189	-1.24568	0.00565	-0.23171	-0.45901	-1.56783	-0.01524	-0.32004	-0.58396	-0.88722	0.27862	0.63357	0.13136	-0.15123	-0.28975	0.53309	0.27743	-1.08902	-0.69812	0.86983	0.23397	0.55988	0.26233	1.15129	-0.11499	0.30853	-0.40721
NFKB1_Nuclear_factor_of_kappa_light_polypeptide_gene_enhancer_in_B-cells_1_p105	M58603_at	0.0324	-0.08637	-0.66729	0.89166	0.17431	-0.63119	0.51527	0.37475	-0.28031	-0.10616	0.36176	1.20865	0.17374	0.53226	0.58669	-0.23484	-1.33948	0.46584	-0.08293	-0.17352	-0.50746	1.0654	-0.41952	0.34907	0.11482	-0.65002	0.51697	1.26767	0.53951	1.24028	0.63713	0.04392	1.64748	0.42997	0.30367	1.12423	1.82279	0.77004
GB_DEF_-_MHC_class_III_HSP70-HOM_gene_HLA	M59829_at	-1.11495	-1.16873	0.27819	-0.94301	-0.76164	-0.78089	-1.15803	-0.74115	-1.47649	-0.08978	-1.28137	-1.03209	-0.60255	-0.82168	-1.13692	-0.5358	-1.00743	-0.50889	-0.99391	-1.14781	-1.06221	-0.59505	-0.73618	-0.41577	-0.20656	-0.05308	0.72324	-0.64792	-1.0002	-1.14816	-1.26183	-0.18231	-1.04218	-1.29694	-0.94541	-0.75919	-0.65297	0.22429
HLA-DQB1_gene_extracted_from_Human_guanine_nucleotide-binding_regulatory_protein_Go-alpha_gene	M60165_cds1_at	0.02503	0.06388	0.58898	-0.60551	-0.32904	0.03421	0.33457	0.64432	0.16913	0.51355	-0.65833	-0.0284	0.0923	-0.54249	-0.0804	0.31236	-0.19007	0.3751	0.04193	-0.16796	0.30412	0.09542	0.58918	0.16596	0.22286	0.31479	0.91784	0.42821	-0.25392	0.29447	0.31569	-0.09508	0.5663	0.46367	0.45536	0.16509	-0.05368	0.32664
Homeobox_gene	M60721_at	-0.25838	-1.3942	-1.46227	0.85113	0.27257	-1.21719	0.36116	-0.40741	-1.47649	-1.21583	-1.28137	-0.60634	0.59999	-1.39979	0.68203	-1.40095	-1.56783	-1.20466	0.41633	0.31126	-1.06221	-1.12665	-1.20963	0.98058	1.44532	0.89795	-1.23051	0.48747	-1.08902	-0.48802	-1.26183	-0.10104	0.37349	-1.34158	-1.22961	1.32949	0.70947	-1.32403
GB_DEF_-_Histone_H2A-1_H2A_gene	M60752_at	-1.45769	0.6267	-1.46227	-1.25186	-0.40888	-1.21719	-1.37386	-1.36832	-1.47649	0.51776	-0.87297	0.61691	-1.18573	-1.39979	-0.80155	-1.01644	-0.64162	-1.20466	-1.24482	-0.53247	1.05702	-1.12665	-1.20963	0.86744	1.12856	-0.2254	-1.23051	-0.47685	-1.08902	0.10698	-1.26183	-0.31874	-1.47218	-1.34158	-1.22961	-1.39906	-1.34579	-1.32403
AKT1_V-akt_murine_thymoma_viral_oncogene_homolog_1	M63167_at	0.48544	0.6339	0.45572	0.34904	0.15435	0.78458	0.75476	-0.04958	0.35205	0.8161	0.27355	0.51178	0.44038	0.59186	0.18368	0.23788	0.18	-0.08788	0.41633	0.55919	-1.00872	0.49792	0.4119	0.54638	0.38051	0.36611	0.03083	0.70003	0.56039	0.51682	0.6932	0.84292	0.72697	0.5873	0.58951	1.06216	0.73042	0.82244
GB_DEF_-_5-lipoxygenase_activating_protein_FLAP_gene_exon_5	M63262_at	0.91321	1.00714	0.04131	-0.17457	0.04754	0.03421	0.98712	-0.29971	-0.72466	-0.39884	-0.94496	0.97208	0.25968	1.36337	-0.32883	-0.59878	-0.8489	0.1654	-0.44826	0.13701	-0.95818	-0.42186	-0.6841	0.72013	0.26711	0.38005	0.01082	-0.60296	0.36504	1.77681	-0.89308	0.17451	-0.01305	-0.73044	-1.22961	1.63722	1.16124	-0.2928
Globin_gene	M69023_at	-0.35083	-0.19598	-0.33121	0.09534	0.1577	-0.11736	0.23333	-0.66223	0.07292	-0.63988	-0.98322	-0.7999	0.51006	-0.7596	0.1598	-0.15001	-0.0784	-0.33026	0.03443	-0.12216	0.1413	-0.50205	-0.6841	0.48741	-0.41799	-0.4117	-0.49997	-0.37745	-0.58904	0.00467	-0.4	-0.75554	-1.15907	-0.29448	-0.26151	-1.07332	-0.74604	-1.30608
TB1_gene_mRNA_3'_end	M74089_at	-1.45769	-1.38539	0.07254	-1.40715	-0.4276	-0.00771	-0.79431	-0.96889	0.23191	-0.55981	0.42305	-1.03209	-1.36149	-0.48929	-1.21246	-1.13766	-0.07549	-0.4028	-0.88947	-0.30335	0.1413	-1.12665	-1.20963	-0.4557	-1.14759	-1.27619	-1.23051	-1.43337	-1.06147	-0.70613	-1.15247	-1.44434	-1.47218	-1.34158	-1.22961	-0.82314	-1.00321	-0.74231
Carbonic_anhydrase_VII_CA_VII_gene	M76424_at	-0.1101	-0.64145	-0.69624	0.3447	-0.54503	-1.21719	0.76521	-1.36832	-0.02625	0.29763	0.05387	-0.96636	0.01197	-0.86206	-0.32883	-0.00021	-1.56783	-1.20466	-0.44826	-1.60767	-0.69614	0.35748	0.13856	-0.43093	-1.25268	-0.91414	-0.39715	-0.09932	-1.08902	-0.12399	0.82058	0.19763	-1.0065	-0.02396	-1.22961	0.23072	-0.99747	-1.32403
GB_DEF_-_M5_muscarinic_acetylcholine_receptor_gene	M80333_at	0.55356	0.1819	0.59662	0.28328	0.28726	-0.28832	0.19584	0.51659	-0.03714	0.30471	0.00492	-0.61896	0.27646	0.33749	-0.21074	0.63965	0.4584	0.47598	0.24934	0.11186	-0.35526	0.33939	0.20606	-0.01945	0.25624	0.2587	0.61912	0.32085	0.05147	-0.07946	0.22871	-0.17796	0.7684	0.19488	-0.02427	-0.02127	0.17902	0.62507
SMPD1_gene_acid_sphingomyelinase_extracted_from_Homo_sapiens_acid_sphingomyelinase_SMPD1_gene_ORF's_1-3's	M81780_cds5_at	0.42396	-0.66834	0.55063	-0.12544	0.1442	0.70498	0.35678	0.55052	0.26878	-0.00701	-1.28137	-0.9395	0.1092	-0.01268	-0.7926	0.25126	-0.36847	-0.71095	-0.09435	-0.40244	-0.12032	0.26335	0.14816	0.59983	-1.25268	0.14708	0.43034	-0.25483	-0.03763	0.61505	0.35473	-0.21565	-0.29043	0.43786	1.3254	0.21419	-1.34579	-0.55741
GB_DEF_-_Somatostatin_receptor_isoform_2_SSTR2_gene	M81830_at	0.19352	-0.01084	0.26965	-0.24799	-0.39054	0.00482	-0.02701	0.36255	-0.19507	-0.12284	-0.05614	-0.13808	-0.4358	0.00161	-0.53223	0.21054	0.19169	0.47261	-0.1878	-0.06647	-0.70232	0.9218	-0.38168	-0.07633	-0.24956	0.27606	0.76391	0.33791	0.02082	-0.11214	-0.06494	0.24891	0.35324	0.62755	0.66827	0.24232	-0.38781	0.54227
GB_DEF_-_Serotonin_receptor_gene	M83181_at	0.43824	-0.68012	0.22048	0.76811	-0.03119	0.40172	0.18358	0.34603	0.31868	-0.28167	0.23537	0.46091	-0.11869	0.63264	-0.14851	0.11581	0.1338	0.12028	-0.75438	-0.12085	0.84554	0.70404	-0.57247	-0.19208	0.37412	0.36142	0.52872	-0.00742	0.37284	-0.05167	0.22702	-0.25028	0.32828	0.26233	0.28548	0.10613	-0.2126	0.201
Arginine-rich_protein_ARP_gene	M83751_at	0.12148	0.64989	0.48115	-0.4082	0.60168	-0.91821	-1.15803	-0.1468	0.95938	0.98218	0.29126	-0.37835	0.7895	-0.19893	0.53288	0.15888	0.3125	0.11296	0.42637	0.90121	-0.0476	-0.18312	-0.57247	0.27286	0.59694	0.29141	-0.59115	-0.24738	-0.23509	0.73366	0.41302	-0.84244	-0.28611	-0.34234	-0.49082	0.26618	-1.3121	0.13462
GB_DEF_-_Dopamine_D1A_receptor_gene_complete_exon_1_and_exon_2_5'_end	M85247_at	0.27455	-0.05851	0.31854	0.23889	-0.36075	-0.06493	0.19584	0.45091	-0.13324	0.2465	0.00054	0.0544	-0.16997	-0.25871	-0.16148	0.32934	0.09209	0.20405	0.31332	-0.45396	-0.19215	0.30002	0.08147	-0.05972	0.15021	0.12911	0.41399	0.0188	-0.85171	-0.31818	0.06794	0.23943	0.26595	0.44178	0.49232	0.08968	-0.00905	0.11631
G-gamma_globin_gene_extracted_from_H-sapiens_G-gamma_globin_and_A-gamma_globin_genes's	M91036_rna1_at	-1.45769	0.94567	-1.46227	2.49749	1.41093	-1.21719	1.58508	1.95108	-0.92599	-1.21583	-0.35565	-1.03209	-1.36149	1.06302	-0.73234	-1.40095	0.42861	-1.18559	1.013	2.50244	-1.06221	1.44456	-0.15152	-0.83299	3.20389	0.22115	-0.89985	1.68478	2.85409	0.59282	0.84214	1.58699	2.88576	0.56934	3.38026	0.3098	1.10267	3.27564
GB_DEF_-_Kazal-type_serine_proteinase_HUSI-II_gene	M91438_at	-0.99577	0.03791	-1.46227	-0.54745	-0.92965	-1.21719	1.02509	-1.17226	-1.45134	-1.21583	-1.28137	0.3504	-1.36149	0.32331	-1.39503	-1.29348	1.78962	-1.20466	-1.24482	0.26132	0.35843	-1.12665	-1.20963	0.76731	0.78679	-0.69321	-1.23051	1.93307	1.90968	-0.23449	1.72009	2.92556	-0.2078	2.21034	0.39531	-1.39906	1.46854	0.71538
Methylmalonate_semialdehyde_dehydrogenase_gene	M93405_at	0.7042	0.34507	0.9715	0.98483	0.44	0.57042	0.61477	0.94668	0.21228	0.37917	0.21653	0.43121	0.61144	0.48788	0.46706	0.27585	0.23692	0.38808	-0.7659	-0.89551	-0.55375	0.66739	-0.3295	0.38305	0.6206	0.34081	1.06348	0.79768	0.45102	0.67761	1.069	0.73078	0.58371	0.43786	0.01425	0.55624	-0.35195	-0.22295
Heterogeneous_nuclear_ribonucleoprotein_D_hnRNP_D_partial_cds_clone_cDx4	M94630_at	1.78526	1.45271	1.53445	1.64355	1.6427	2.04724	1.83549	1.23457	1.86767	1.80688	1.59903	1.5724	1.64942	1.61753	1.64784	1.51956	1.6565	1.42339	1.72342	1.55302	1.55469	1.46774	1.8574	1.65173	1.42333	1.19594	0.79193	1.70498	1.50358	1.35926	1.72423	1.30065	0.88076	1.55715	1.71936	1.39618	1.5815	1.60443
GB_DEF_-_Recombination_acitivating_protein_RAG2_gene_last_exon	M94633_at	-0.48518	-1.3942	-0.61546	0.38584	0.08089	-0.4045	0.25317	0.20993	-0.99075	-0.19579	-1.28137	-1.03209	-0.85682	-1.39979	0.18515	-0.64465	-1.56783	-0.89458	-0.72617	0.75609	-0.48761	-1.12665	-0.77252	0.25538	-1.25268	-0.59101	-0.48702	-1.43337	-1.08902	-1.29865	-1.26183	-1.44434	-1.47218	-1.34158	-1.22961	-1.39906	-1.34579	-1.25428
PBGD_gene_hydroxymethylbilane_synthase_extracted_from_Homo_sapiens_hydroxymethylbilane_synthase_gene	M95623_cds1_at	-0.10583	-0.13841	0.16839	0.2755	-0.65102	0.36023	0.20277	0.34881	-0.38443	0.07798	-0.09437	0.15675	-0.72271	0.90217	-0.42615	-0.09103	-1.08498	-0.53735	0.53642	-0.02011	-0.10725	-0.09579	0.55998	-0.3379	0.64847	-0.10616	-0.42082	0.11008	1.41907	-0.24364	-0.0673	-0.14807	0.32193	-0.00464	1.13697	-0.71063	1.60646	1.53873
BRAF_V-raf_murine_sarcoma_viral_oncogene_homolog_B1	M95712_at	0.53885	-0.29003	0.78329	0.2755	0.24096	0.45225	0.34944	1.15293	0.39648	0.19236	-0.04915	0.08871	-0.03209	-0.13103	-0.16804	-1.18934	-0.66165	0.0418	-0.77171	-0.26343	0.38727	0.68589	0.74545	0.03604	0.07582	0.19336	0.47927	0.12827	-1.08902	0.10095	0.55056	-0.01561	0.60154	0.67422	0.5684	0.3421	0.07711	-0.67345
Azurocidin_gene	M96326_rna1_at	0.43942	-0.24056	0.77089	0.63541	0.65803	0.83273	0.59797	0.9708	0.7294	-1.21583	0.52708	1.45665	-0.94607	0.56364	0.05894	0.08267	-1.56783	-1.20466	-1.24482	-1.60767	0.06926	0.69151	1.17957	0.38689	0.2434	-1.27619	-0.69744	0.11508	3.64076	2.50206	2.63544	0.59343	1.71825	3.14491	1.20972	2.2372	2.6046	1.65492
Defensin_5_gene	M97925_rna1_at	0.45231	0.05185	0.48787	-0.61756	-0.42445	0.63951	0.73934	0.78682	-0.08218	0.61958	0.31018	-0.69144	-0.1274	0.14572	-0.44397	0.19127	0.03434	0.3751	0.26327	-0.12085	-0.26238	0.4266	-0.97802	-0.0234	-0.08575	0.10872	0.79743	0.38726	-0.70496	0.32735	-0.40342	0.19477	0.60384	0.45215	0.85987	0.26953	0.46495	0.40257
Prostaglandin_D2_synthase_gene	M98539_at	0.2589	-0.20057	0.41718	-0.37327	-0.4728	0.13683	0.39549	0.57245	0.1391	-0.01947	0.10031	0.19321	0.03412	-0.27496	-0.63032	0.343	0.24389	0.49922	0.22497	-0.30828	-0.16068	0.23433	0.37672	-0.05972	0.13372	0.17627	0.8904	0.49406	0.03488	0.15799	0.30332	0.96883	0.58449	0.59285	0.78356	0.2773	0.21467	0.76734
Keratin_1_gene	M98776_rna1_at	0.54833	0.26724	0.67811	0.28637	-0.06678	-0.04634	0.72267	1.00514	0.69764	-0.31909	-0.10418	0.43336	-0.05598	1.16443	-0.19477	0.40005	0.71144	0.43829	0.11387	0.18059	-0.23215	0.49103	0.45284	0.3027	0.55961	0.42503	1.2004	0.34825	0.07314	-0.2717	0.61763	0.13562	0.66868	0.24472	0.49889	-0.03563	0.11871	0.77721
ERBB3_V-erb-b2_avian_erythroblastic_leukemia_viral_oncogene_homolog_3_{alternative_products}	S61953_at	-1.0184	-1.02346	-1.46227	-1.40715	-1.16947	-0.46441	-0.91187	-1.36832	-1.47649	-0.54638	-0.90227	-1.03209	-1.36149	-0.87244	-1.26413	-1.40095	-0.52799	-0.89458	-1.24482	-1.24594	-1.06221	-0.01286	-1.20963	-1.48332	-0.63819	-1.27619	0.97592	-0.72817	-1.08902	-0.67842	-0.07915	-0.77648	-0.67854	-0.50673	-1.22961	-0.94845	-1.34579	-1.32403
Granulocyte_colony-stimulating_factor_induced_gene_[human_CML_patient_bone_marrow_mononuclear_cells_mRNA_833_nt]	S69115_at	0.55564	0.23126	-0.16769	0.56702	1.12795	-1.05571	0.1658	0.22908	0.22273	-0.24251	-0.18949	1.14363	1.08078	1.3984	0.62322	0.8424	-1.56783	-1.20466	0.15679	-0.57249	-1.06221	-0.13176	-1.20963	0.74489	0.55566	0.82213	-1.23051	0.09322	-0.00212	-0.21873	-0.43838	0.35785	-0.12704	0.30266	-0.98233	-0.38225	0.17171	-0.12611
VAV2_Vav_2_oncogene	S76992_at	0.48768	-0.49528	0.46657	0.36478	-0.36958	-1.21719	0.51527	0.28573	-0.68684	0.41738	-0.40243	-1.03209	-0.21712	-0.49621	-0.15281	0.5675	-1.56783	-0.64415	-0.18149	-0.76722	-1.06221	0.90292	0.24787	0.0689	-0.00507	0.36767	0.26423	-0.12491	-1.08902	-0.73481	-0.07915	-0.24091	-0.16553	0.30114	-1.22961	-0.25766	-0.0769	-0.27839
ABR_Active_BCR-related_gene	U01147_at	-0.26848	-0.20518	-0.64967	0.09345	-0.27405	0.31146	0.15677	-0.13731	-0.56488	-0.28836	-0.93873	-0.39838	-0.30355	-0.37898	0.06064	-0.16278	-1.56783	-0.33415	-0.38395	-0.29359	-0.35526	-0.08304	0.11662	0.25978	-0.43703	-0.51912	-0.25961	-0.22057	-0.46664	-0.19238	-0.20995	0.15378	-0.13968	-1.34158	-0.48179	-0.22064	-0.20802	-0.28413
GB_DEF_-_Olfactory_marker_protein_OMP_gene	U01212_at	0.48544	1.01998	1.09967	-0.13506	0.55705	0.78027	0.41357	1.36611	0.69632	1.24096	-1.28137	0.53335	1.06162	1.24057	0.64005	1.17663	-0.27183	0.84309	1.07246	0.23388	-0.1886	1.30697	0.43702	0.93253	1.24783	0.89795	0.74785	1.15305	0.95035	-0.15851	1.19695	1.17022	0.95201	0.9347	1.48789	0.76593	0.70079	1.22542
Beta-globin_thalassemia_gene_extracted_from_Human_beta_globin_region_on_chromosome_11	U01317_cds6_at	-1.45769	-1.3942	-1.46227	-1.40715	-1.42668	-1.21719	-0.59602	-0.35197	-0.58852	-1.21583	-1.07212	-1.03209	-1.36149	-1.39979	-1.39503	-0.78728	-0.58422	-1.20466	0.0294	-0.11045	-1.06221	-1.12665	-0.9934	-1.48332	0.49291	-0.78074	-1.23051	-1.03444	1.14569	-0.38909	-1.26183	-1.31934	0.91446	-1.34158	-1.22961	-1.39906	1.48302	2.0181
G_protein-coupled_receptor_APJ_gene	U03642_at	0.86019	0.32243	0.85103	1.26531	0.51927	1.08642	0.56342	0.49797	0.60197	0.84203	0.61259	0.16812	0.32629	0.62854	0.43996	0.979	-0.71237	0.71174	0.6351	0.33922	0.406	0.87562	1.31675	0.58752	0.77124	0.69253	1.13902	0.85397	0.25283	0.51223	0.65831	0.76774	0.77782	0.98718	0.25016	0.54029	0.4111	0.68824
MB-1_gene	U05259_rna1_at	2.72582	0.54637	0.15313	2.32039	2.26094	-0.2548	2.30639	2.00463	-0.2496	0.40955	-0.93255	2.09646	2.10938	-0.99502	2.1809	2.01026	-0.9088	2.17281	1.90576	1.97186	1.99834	2.66211	0.8867	2.35106	2.38769	2.79557	2.29039	-1.43337	0.23048	-0.28127	-0.36648	-0.444	-1.47218	0.45344	0.59397	-1.39906	-0.6763	-0.48997
ABL_gene_exon_1b_and_intron_1b_and_putative_M8604_Met_protein__M8604_Met_gene	U07563_cds1_at	-1.45769	-1.3942	-1.46227	-1.40715	0.19867	-0.34459	-1.37386	-1.36832	-1.47649	-1.21583	-1.28137	-1.03209	-0.64867	-0.41325	0.22818	-1.40095	-1.56783	-1.20466	-0.59638	-1.34567	-1.06221	-1.08939	0.05818	-0.76078	-1.25268	-1.27619	-0.32587	-0.85392	-0.9037	-1.29865	-1.26183	-1.44434	-1.47218	-1.34158	-1.22961	-1.39906	-1.34579	-1.32403
HB9_homeobox_gene	U07664_at	0.16696	-1.16189	0.19549	0.14148	-0.15872	0.29522	0.37419	0.73119	0.09734	0.25211	0.04136	0.05757	0.4586	-0.66321	-0.15714	0.79866	-0.66746	0.55342	0.62703	-0.30992	1.19172	1.33299	0.51035	0.32617	1.28521	0.76519	1.2431	0.64604	-0.80934	-1.29865	0.7931	0.23534	0.30259	0.78548	1.24907	0.68747	-1.00321	0.66532
MAGE-11_antigen_MAGE11_gene	U10686_at	0.4977	0.35985	0.34707	0.15755	-1.42668	0.07663	0.4915	0.5757	-1.05564	0.76303	-0.74919	-1.03209	0.52273	-1.39979	-0.67595	0.27747	0.62998	0.10558	-0.43998	-0.10531	-0.2174	0.19262	-0.81028	0.47119	-0.05212	-0.28027	1.32811	0.86497	-0.70496	0.04454	0.68511	0.25295	0.5647	0.79793	0.17543	-0.50586	0.55127	0.52594
ETV6_Ets_variant_gene_6_TEL_oncogene	U11732_at	-1.45769	-0.26495	-1.46227	-0.68896	-0.99125	-1.21719	-0.47081	-0.57804	-0.96705	-1.13654	-0.88457	-0.09641	-1.05156	-1.39979	-0.89147	-0.92605	0.5808	-1.20466	-0.24321	-0.10147	-1.06221	-0.69213	-1.09981	-0.23822	-0.50073	-0.72825	-1.23051	-0.74084	0.2122	-1.29865	-0.54824	-0.18888	-0.2627	0.05096	-0.3321	-1.39906	-1.01482	-0.2928
Interleukin-8_receptor_type_A_IL8RBA_gene_promoter_and_complete_cds	U11870_rna1_at	-1.45769	-1.3942	-1.46227	-1.40715	-1.28918	-1.21719	-1.37386	-1.36832	0.17891	-1.21583	-0.55119	-1.03209	-1.36149	-1.39979	-1.39503	-0.15001	-1.56783	-0.99756	-0.74299	-1.60767	-0.04457	-1.12665	-1.20963	-0.95827	-1.25268	-1.06276	-1.23051	-1.43337	-1.08902	-1.29865	-1.26183	-1.44434	-1.47218	-1.34158	-0.08806	-1.39906	-1.34579	-1.32403
GB_DEF_-_Alpha1XI_collagen_COL11A1_gene_5'_region_and_exon_1	U12139_at	0.02503	-1.3942	0.02688	-1.02049	-1.42668	0.70498	-0.02261	-1.36832	-1.47649	-0.32957	-0.07267	0.06702	-1.36149	-1.39979	0.32987	-0.65755	0.79819	-0.02086	-0.73735	-1.60767	0.05306	0.12131	-0.59791	-0.5584	0.67087	0.61367	-1.23051	-1.43337	-0.16682	-1.29865	0.79759	-0.98566	0.80912	-1.34158	-0.65883	-0.22064	-0.17442	-1.32403
GB_DEF_-_G_protein-coupled_receptor_GPR1_gene	U13666_at	-0.39347	-0.79835	0.02688	-0.02563	-0.67129	-0.23526	0.20449	-0.26919	-0.79422	-0.30874	-0.99634	-0.15368	-1.36149	-0.77356	-1.34364	-0.34342	-0.46373	-0.62814	-0.50832	-0.57477	-1.06221	-0.63383	-0.27628	-0.60873	-0.30459	-0.7916	0.17087	-0.14017	-0.20935	-0.16895	0.16746	-0.52662	-0.55794	0.07073	-0.00482	0.03974	-0.2126	0.31632
GB_DEF_-_Homolog_of_yeast_mutL_hPMS1_gene	U13695_at	-0.20943	-0.49528	-0.22174	0.10288	0.11485	-0.09216	-0.1673	0.08198	-0.71418	-1.21583	-1.28137	-0.85497	-0.1384	0.17974	-0.13785	0.30454	0.77996	0.0418	-0.3647	0.2759	-0.26238	-1.12665	-0.61875	-0.17798	-0.31129	-1.27619	0.21667	-0.49941	-0.83737	-0.68624	-0.86969	-1.44434	-0.40633	-0.48136	-0.02427	-0.67165	-0.76768	-0.8378
Beta-12-N-acetylglucosaminyltransferase_II_MGAT2_gene	U15128_at	-1.33683	-1.27045	-1.46227	-0.69773	-0.40888	-1.21719	-1.37386	-0.75499	-0.93946	-0.68011	-0.80628	-1.03209	0.00635	-1.10232	-0.67986	-0.83828	-0.04702	-0.51358	-0.45243	-0.59092	-1.06221	-1.05354	-1.20963	-0.59407	-1.25268	-1.27619	-0.65552	-1.3141	-0.27702	-0.48802	-1.26183	-0.77225	-0.29478	-1.34158	-1.22961	-0.94845	-0.70027	-1.10741
Growth_hormone-releasing_hormone_receptor_form_b_gene_extracted_from_Human_growth_hormone-releasing_hormone_receptor_gene_alternatively_spliced_forms_a_b_and_c_partial_cds	U17579_rna1_at	0.0397	-0.52463	-0.00437	-0.08103	-0.55221	-0.41227	0.10072	-0.05173	-0.47118	-0.07635	-0.21701	-0.54561	-0.39935	-0.10566	-0.7926	-0.36544	-0.49169	-0.147	-0.6411	-0.4861	-1.03507	-0.06423	-0.36532	-0.04746	-0.50901	-0.51506	0.57708	-0.31674	-1.08902	-0.604	-0.14088	-0.17796	0.12713	-0.10793	0.27934	-0.25556	-0.21952	-0.09057
